,year,title,rating
439,1942,49th Parallel,
440,1942,Kings Row,
441,1942,Random Harvest,
442,1942,The Pied Piper,
443,1942,The Talk of the Town,
444,1942,Wake Island,
445,1942,Mrs. Miniver,3.0
446,1941,Citizen Kane,1.0
447,1941,The Maltese Falcon,1.0
448,1941,Suspicion,3.0
449,1941,Sergeant York,
450,1941,Blossoms in the Dust,
451,1941,Here Comes Mr. Jordan,
452,1941,Hold Back the Dawn,
453,1941,One Foot in Heaven,
454,1941,The Little Foxes,2.0
455,1941,How Green Was My Valley,3.0
456,1940,The Grapes of Wrath,3.0
457,1940,The Philadelphia Story,3.0
458,1940,The Great Dictator,3.0
459,1940,All This and Heaven Too,
460,1940,Foreign Correspondent,1.0
461,1940,Kitty Foyle: The Natural History of a Woman,
462,1940,Our Town,
463,1940,The Letter,2.0
464,1940,The Long Voyage Home,
465,1940,Rebecca,3.0
466,1939,The Wizard of Oz,3.0
467,1939,Mr. Smith Goes to Washington,2.0
468,1939,Stagecoach,3.0
469,1939,Ninotchka,3.0
470,1939,Dark Victory,3.0
471,1939,Goodbye Mr. Chips,
472,1939,Love Affair,3.0
473,1939,Of Mice and Men,1.0
474,1939,Wuthering Heights,2.0
475,1939,Gone with the Wind,3.0
476,1938,La grande illusion,
477,1938,Jezebel,2.0
478,1938,Alexander’s Ragtime Band,
479,1938,Boys Town,0.0
480,1938,Four Daughters,3.0
481,1938,Pygmalion,
482,1938,Test Pilot,
483,1938,The Adventures of Robin Hood,2.0
484,1938,The Citadel,
485,1938,You Can’t Take it With You,
486,1937,A Star Is Born,
487,1937,Captains Courageous,
488,1937,Dead End,
489,1937,In Old Chicago,
490,1937,Lost Horizon,2.0
491,1937,One Hundred Men and a Girl,
492,1937,Stage Door,3.0
493,1937,The Awful Truth,3.0
494,1937,The Good Earth,
495,1937,The Life of Emile Zola,1.0
496,1936,Dodsworth,
497,1936,A Tale of Two Cities,
498,1936,Anthony Adverse,
499,1936,Libeled Lady,
500,1936,Mr. Deeds Goes to Town,3.0
501,1936,Romeo and Juliet,3.0
502,1936,San Francisco,1.0
503,1936,The Story of Louis Pasteur,
504,1936,Three Smart Girls,
505,1936,The Great Ziegfeld,3.0
506,1935,Captain Blood,
507,1935,A Midsummer Night’s Dream,
508,1935,Alice Adams,
509,1935,Broadway Melody of 1936,
510,1935,Les MisÃ©rables,3.0
511,1935,Naughty Marietta,3.0
512,1935,Ruggles of Red Gap,
513,1935,The Informer,
514,1935,The Lives of a Bengal Lancer,
515,1935,The Personal History,
516,1935,Adventures,
517,1935,Experience & Observation of David Copperfield the Younger,
518,1935,Top Hat,2.0
519,1935,Mutiny on the Bounty,1.0
520,1934,Cleopatra,1.0
521,1934,Flirtation Walk,
522,1934,Here Comes the Navy,
523,1934,Imitation of Life,3.0
524,1934,One Night of Love,
525,1934,The Barretts of Wimpole Street,
526,1934,The Gay Divorcee,
527,1934,The House of Rothschild,
528,1934,The Thin Man,
529,1934,The White Parade,
530,1934,Viva Villa!,
531,1934,It Happened One Night,3.0
532,1932,42nd Street,
533,1932,A Farewell to Arms,
534,1932,I Am a Fugitive from a Chain Gang,1.0
535,1932,Lady for a Day,
536,1932,Little Women,
537,1932,She Done Him Wrong,
538,1932,Smilin’ Through,
539,1932,State Fair,
540,1932,The Private Life of Henry VIII,
541,1932,Cavalcade,
542,1931,Arrowsmith,
543,1931,Bad Girl,
544,1931,Five Star Final,
545,1931,One Hour with You,
546,1931,Shanghai Express,
547,1931,The Champ,1.0
548,1931,The Smiling Lieutenant,2.0
549,1931,Grand Hotel,
550,1930,East Lynne,
551,1930,Skippy,
552,1930,The Front Page,
553,1930,Trader Horn,
554,1930,Cimarron,
555,1929,Disraeli,
556,1929,The Divorcee,
557,1929,The Big House,
558,1929,The Love Parade,
559,1929,All Quiet on the Western Front,
