,title,year,rating
323,"The Karate Kid, Part II",1986,1.0
324,Star Trek IV: The Voyage Home,1986,3.0
325,Back to School,1986,1.0
326,Aliens,1986,3.0
327,An American Tail,1986,3.0
328,The Golden Child,1986,
329,Ruthless People,1986,3.0
330,Back to the Future,1985,2.0
331,Rambo: First Blood Part II,1985,0.0
332,Rocky IV,1985,2.0
333,The Color Purple,1985,3.0
334,Out Of Africa,1985,3.0
335,Cocoon,1985,
336,The Jewel of the Nile,1985,
337,Witness,1985,3.0
338,The Goonies,1985,3.0
339,Spies Like Us,1985,1.0
340,Ghostbusters,1984,2.0
341,Beverly Hills Cop,1984,0.0
342,Indiana Jones and the Temple of Doom,1984,0.0
343,Gremlins,1984,1.0
344,The Karate Kid,1984,3.0
345,Police Academy,1984,3.0
346,Footloose,1984,3.0
347,The Terminator,1984,3.0
348,Romancing the Stone,1984,3.0
349,Star Trek III: The Search for Spock,1984,1.0
350,Star Wars Episode VI: Return of the Jedi,1983,1.0
351,Terms of Endearment,1983,1.0
352,Flashdance,1983,3.0
353,Trading Places,1983,1.0
354,WarGames,1983,1.0
355,Octopussy,1983,2.0
356,Sudden Impact,1983,
357,Staying Alive,1983,
358,Mr. Mom,1983,
359,Risky Business,1983,
360,E.T. the Extra-Terrestrial,1982,3.0
361,Tootsie,1982,1.0
362,An Officer and a Gentleman,1982,3.0
363,Rocky III,1982,0.0
364,Porky's,1982,2.0
365,Star Trek II: The Wrath of Khan,1982,3.0
366,48 Hrs.,1982,2.0
367,Poltergeist,1982,3.0
368,The Best Little Whorehouse in Texas,1982,3.0
369,Annie,1982,3.0
370,Raiders of the Lost Ark,1981,3.0
371,On Golden Pond,1981,
372,Superman II,1981,
373,Arthur,1981,
374,Stripes,1981,2.0
375,The Cannonball Run,1981,
376,Chariots of Fire,1981,1.0
377,For Your Eyes Only,1981,3.0
378,The Four Seasons,1981,
379,Time Bandits,1981,1.0
380,Star Wars Episode V: The Empire Strikes Back,1980,0.0
381,9 to 5,1980,
382,Stir Crazy,1980,
383,Airplane!,1980,3.0
384,Any Which Way You Can,1980,1.0
385,Private Benjamin,1980,3.0
386,Coal Miner's Daughter,1980,3.0
387,Smokey and the Bandit II,1980,
388,The Blue Lagoon,1980,0.0
389,The Blues Brothers,1980,1.0
390,Kramer vs. Kramer,1979,1.0
391,The Amityville Horror,1979,3.0
392,Rocky II,1979,1.0
393,Apocalypse Now,1979,0.0
394,Star Trek: The Motion Picture,1979,1.0
395,Alien,1979,3.0
396,10,1979,
397,The Jerk,1979,1.0
398,Moonraker,1979,1.0
399,The Muppet Movie,1979,2.0
400,Grease,1978,3.0
401,Superman,1978,1.0
402,National Lampoon's Animal House,1978,
403,Every Which Way but Loose,1978,
404,Heaven Can Wait,1978,
405,Hooper,1978,
406,Jaws 2,1978,2.0
407,Dawn of the Dead,1978,0.0
408,Revenge of the Pink Panther,1978,
409,The Deer Hunter,1978,1.0
410,Star Wars,1977,1.0
411,Smokey and the Bandit,1977,
412,Close Encounters of the Third Kind,1977,1.0
413,The Goodbye Girl,1977,3.0
414,Saturday Night Fever,1977,1.0
415,"Oh, God!",1977,
416,A Bridge Too Far,1977,1.0
417,The Deep,1977,
418,The Spy Who Loved Me,1977,1.0
419,Annie Hall,1977,3.0
420,Rocky,1976,1.0
421,To Fly!,1976,
422,A Star Is Born,1976,0.0
423,All the President's Men,1976,
424,The Omen,1976,3.0
425,In Search of Noah's Ark,1976,
426,King Kong,1976,
427,Silver Streak,1976,1.0
428,The Enforcer,1976,
429,Midway,1976,
430,Dog Day Afternoon,1975,3.0
431,Shampoo,1975,
432,The Return of the Pink Panther,1975,
433,Funny Lady,1975,
434,The Apple Dumpling Gang,1975,
435,"Aloha, Bobby and Rose",1975,
436,The Other Side of the Mountain,1975,
